ensg1	ensg2	score	interaction_type	data_source
ENSG00000072201	ENSG00000186628	0.49	PPI	IAH
ENSG00000171425	ENSG00000186628	0.7	PPI	IAH
ENSG00000152475	ENSG00000186628	0.49	PPI	IAH
ENSG00000180938	ENSG00000186628	0.6	PPI	IAH
ENSG00000186628	ENSG00000196418	0.56	PPI	IAH
ENSG00000166681	ENSG00000186628	0.7	PPI	IAH
ENSG00000186628	ENSG00000198883	0.49	PPI	IAH
ENSG00000141570	ENSG00000186628	0.7	PPI	IAH
ENSG00000170264	ENSG00000186628	0.56	PPI	IAH
ENSG00000173480	ENSG00000186628	0.7	PPI	IAH
ENSG00000167081	ENSG00000186628	0.56	PPI	IAH
ENSG00000175513	ENSG00000186628	0.49	PPI	IAH
ENSG00000160284	ENSG00000186628	0.49	PPI	IAH
ENSG00000065029	ENSG00000186628	0.49	PPI	IAH
ENSG00000120071	ENSG00000186628	0.56	PPI	IAH
ENSG00000171847	ENSG00000186628	0.7	PPI	IAH
ENSG00000165630	ENSG00000186628	0.49	PPI	IAH
ENSG00000159377	ENSG00000186628	0.56	PPI	IAH
ENSG00000186628	ENSG00000196453	0.49	PPI	IAH
ENSG00000164221	ENSG00000186628	0.56	PPI	IAH
ENSG00000117625	ENSG00000186628	0.49	PPI	IAH
ENSG00000102879	ENSG00000186628	0.7	PPI	IAH
ENSG00000166169	ENSG00000186628	0.6	PPI	IAH
ENSG00000104611	ENSG00000186628	0.56	PPI	IAH
ENSG00000146112	ENSG00000186628	0.7	PPI	IAH
ENSG00000103852	ENSG00000186628	0.49	PPI	IAH
ENSG00000186628	ENSG00000240583	0.56	PPI	IAH
ENSG00000119725	ENSG00000186628	0.56	PPI	IAH
ENSG00000160284	ENSG00000186628	0.6	PPI	IAH
ENSG00000142686	ENSG00000186628	0.49	PPI	IAH
ENSG00000179930	ENSG00000186628	0.49	PPI	IAH
ENSG00000132010	ENSG00000186628	0.56	PPI	IAH
ENSG00000112983	ENSG00000186628	0.7	PPI	IAH
ENSG00000186628	ENSG00000197062	0.56	PPI	IAH
ENSG00000146007	ENSG00000186628	0.56	PPI	IAH
ENSG00000062725	ENSG00000188343	0.49	PPI	IAH
ENSG00000100211	ENSG00000188343	0.56	PPI	IAH
ENSG00000174015	ENSG00000188343	0.49	PPI	IAH
ENSG00000100211	ENSG00000188343	0.49	PPI	IAH
ENSG00000103018	ENSG00000172159	0.49	PPI	IAH
ENSG00000151778	ENSG00000172159	0.49	PPI	IAH
ENSG00000171135	ENSG00000172159	0.49	PPI	IAH
ENSG00000120742	ENSG00000172159	0.49	PPI	IAH
ENSG00000172159	ENSG00000176087	0.49	PPI	IAH
ENSG00000109084	ENSG00000172159	0.49	PPI	IAH
ENSG00000153551	ENSG00000172159	0.49	PPI	IAH
ENSG00000150433	ENSG00000172159	0.49	PPI	IAH
ENSG00000137404	ENSG00000172159	0.49	PPI	IAH
ENSG00000172159	ENSG00000188807	0.49	PPI	IAH
ENSG00000162300	ENSG00000172159	0.49	PPI	IAH
ENSG00000172159	ENSG00000203805	0.49	PPI	IAH
ENSG00000082781	ENSG00000204371	0.56	PPI	IAH
ENSG00000106397	ENSG00000204371	0.56	PPI	IAH
ENSG00000129084	ENSG00000204371	0.56	PPI	IAH
ENSG00000102030	ENSG00000204371	0.56	PPI	IAH
ENSG00000109787	ENSG00000204371	0.56	PPI	IAH
ENSG00000170264	ENSG00000204371	0.56	PPI	IAH
ENSG00000198570	ENSG00000204371	0.56	PPI	IAH
ENSG00000183486	ENSG00000204371	0.56	PPI	IAH
ENSG00000106153	ENSG00000204371	0.56	PPI	IAH
ENSG00000136367	ENSG00000143382	0.49	PPI	IAH
ENSG00000136367	ENSG00000212901	0.49	PPI	IAH
ENSG00000182986	ENSG00000241123	0.56	PPI	IAH
ENSG00000204604	ENSG00000241123	0.56	PPI	IAH
ENSG00000091157	ENSG00000139926	0.56	PPI	IAH
ENSG00000070669	ENSG00000184465	0.56	PPI	IAH
ENSG00000143374	ENSG00000185418	0.49	PPI	IAH
ENSG00000113407	ENSG00000185418	0.7	PPI	IAH
ENSG00000114735	ENSG00000270379	0.49	PPI	IAH
ENSG00000150433	ENSG00000203985	0.7	PPI	IAH
ENSG00000150433	ENSG00000179564	0.49	PPI	IAH
ENSG00000150433	ENSG00000168958	0.49	PPI	IAH
ENSG00000150433	ENSG00000187912	0.49	PPI	IAH
ENSG00000150433	ENSG00000168000	0.49	PPI	IAH
ENSG00000100580	ENSG00000150433	0.49	PPI	IAH
ENSG00000149516	ENSG00000150433	0.49	PPI	IAH
ENSG00000150433	ENSG00000157570	0.49	PPI	IAH
ENSG00000150433	ENSG00000256235	0.49	PPI	IAH
ENSG00000150433	ENSG00000157613	0.7	PPI	IAH
ENSG00000132646	ENSG00000150433	0.56	PPI	IAH
ENSG00000134780	ENSG00000150433	0.49	PPI	IAH
ENSG00000050748	ENSG00000179256	0.56	PPI	IAH
ENSG00000183386	ENSG00000221986	0.56	PPI	IAH
ENSG00000160207	ENSG00000222046	0.49	PPI	IAH
ENSG00000183386	ENSG00000222046	0.7	PPI	IAH
ENSG00000172530	ENSG00000222046	0.56	PPI	IAH
ENSG00000132938	ENSG00000222046	0.56	PPI	IAH
ENSG00000212899	ENSG00000222046	0.49	PPI	IAH
ENSG00000157110	ENSG00000222046	0.56	PPI	IAH
ENSG00000164815	ENSG00000196290	0.56	PPI	IAH
ENSG00000106511	ENSG00000188732	0.49	PPI	IAH
ENSG00000188581	ENSG00000188732	0.49	PPI	IAH
ENSG00000184900	ENSG00000188732	0.49	PPI	IAH
ENSG00000123349	ENSG00000188732	0.49	PPI	IAH
ENSG00000188732	ENSG00000264343	0.49	PPI	IAH
ENSG00000105793	ENSG00000176903	0.6	PPI	IAH
ENSG00000105793	ENSG00000132938	0.56	PPI	IAH
ENSG00000112578	ENSG00000186591	0.56	PPI	IAH
ENSG00000106636	ENSG00000113013	0.56	PPI	IAH
ENSG00000264343	ENSG00000276903	0.56	PPI	IAH
ENSG00000196787	ENSG00000264343	0.56	PPI	IAH
ENSG00000264343	ENSG00000275221	0.56	PPI	IAH
ENSG00000196747	ENSG00000264343	0.56	PPI	IAH
ENSG00000264343	ENSG00000278677	0.56	PPI	IAH
ENSG00000062725	ENSG00000276903	0.56	PPI	IAH
ENSG00000062725	ENSG00000196787	0.56	PPI	IAH
ENSG00000062725	ENSG00000275221	0.56	PPI	IAH
ENSG00000062725	ENSG00000196747	0.56	PPI	IAH
ENSG00000062725	ENSG00000278677	0.56	PPI	IAH
ENSG00000094796	ENSG00000215217	0.49	PPI	IAH
ENSG00000160207	ENSG00000215217	0.49	PPI	IAH
ENSG00000151929	ENSG00000163092	0.49	PPI	IAH
ENSG00000143382	ENSG00000157322	0.56	PPI	IAH
ENSG00000157322	ENSG00000204889	0.56	PPI	IAH
ENSG00000094796	ENSG00000157322	0.49	PPI	IAH
ENSG00000157322	ENSG00000264343	0.56	PPI	IAH
ENSG00000138180	ENSG00000167987	0.78	PPI	IAH
ENSG00000101966	ENSG00000167987	0.7	PPI	IAH
ENSG00000138750	ENSG00000167987	0.49	PPI	IAH
ENSG00000142698	ENSG00000167987	0.7	PPI	IAH
ENSG00000167987	ENSG00000175325	0.49	PPI	IAH
ENSG00000100109	ENSG00000167987	0.56	PPI	IAH
ENSG00000167987	ENSG00000249915	0.7	PPI	IAH
ENSG00000149658	ENSG00000167987	0.49	PPI	IAH
ENSG00000135249	ENSG00000167987	0.56	PPI	IAH
ENSG00000165171	ENSG00000167987	0.49	PPI	IAH
ENSG00000106077	ENSG00000167987	0.49	PPI	IAH
ENSG00000132522	ENSG00000167987	0.49	PPI	IAH
ENSG00000159216	ENSG00000167987	0.49	PPI	IAH
ENSG00000152240	ENSG00000167987	0.49	PPI	IAH
ENSG00000167987	ENSG00000186977	0.49	PPI	IAH
ENSG00000167987	ENSG00000168269	0.49	PPI	IAH
ENSG00000167110	ENSG00000167987	0.56	PPI	IAH
ENSG00000160199	ENSG00000167987	0.56	PPI	IAH
ENSG00000167987	ENSG00000169813	0.49	PPI	IAH
ENSG00000167987	ENSG00000198373	0.7	PPI	IAH
ENSG00000131738	ENSG00000167987	0.49	PPI	IAH
ENSG00000167987	ENSG00000196155	0.49	PPI	IAH
ENSG00000120896	ENSG00000167987	0.7	PPI	IAH
ENSG00000114354	ENSG00000167987	0.7	PPI	IAH
ENSG00000054965	ENSG00000167987	0.56	PPI	IAH
ENSG00000167987	ENSG00000183283	0.7	PPI	IAH
ENSG00000115145	ENSG00000167987	0.7	PPI	IAH
ENSG00000156463	ENSG00000167987	0.49	PPI	IAH
ENSG00000167987	ENSG00000185002	0.56	PPI	IAH
ENSG00000167987	ENSG00000227151	0.49	PPI	IAH
ENSG00000101413	ENSG00000167987	0.49	PPI	IAH
ENSG00000167987	ENSG00000168175	0.7	PPI	IAH
ENSG00000110777	ENSG00000167987	0.49	PPI	IAH
ENSG00000167987	ENSG00000186970	0.49	PPI	IAH
ENSG00000167987	ENSG00000175197	0.56	PPI	IAH
ENSG00000105323	ENSG00000167987	0.56	PPI	IAH
ENSG00000141985	ENSG00000167987	0.56	PPI	IAH
ENSG00000167987	ENSG00000185359	0.56	PPI	IAH
ENSG00000167987	ENSG00000176125	0.49	PPI	IAH
ENSG00000101197	ENSG00000167987	0.49	PPI	IAH
ENSG00000069764	ENSG00000167987	0.49	PPI	IAH
ENSG00000157110	ENSG00000167987	0.56	PPI	IAH
ENSG00000167987	ENSG00000205002	0.49	PPI	IAH
ENSG00000013810	ENSG00000167987	0.56	PPI	IAH
ENSG00000167987	ENSG00000177885	0.49	PPI	IAH
ENSG00000137478	ENSG00000167987	0.49	PPI	IAH
ENSG00000167987	ENSG00000186925	0.49	PPI	IAH
ENSG00000167987	ENSG00000188313	0.56	PPI	IAH
ENSG00000154556	ENSG00000167987	0.49	PPI	IAH
ENSG00000100567	ENSG00000167987	0.56	PPI	IAH
ENSG00000154556	ENSG00000167987	0.56	PPI	IAH
ENSG00000074319	ENSG00000167987	0.7	PPI	IAH
ENSG00000103154	ENSG00000198003	0.56	PPI	IAH
